,Mutual_Info,Spearman_Corr,Importances,Stability,MI_Rank,Spearman_Rank,Importance_Rank,Stability_Rank
GS20_1m,0.2911828987847742,-0.18422305896232993,0.09165612558536052,0.992445705487919,25.0,2.0,1.0,79.0
YC_30Y_10Y_1m,0.033551513121566234,0.20119571237341372,0.08744884560948042,0.994446508161841,56.0,1.0,2.0,71.0
EXPINF10YR,0.3104820273027511,0.12965634734588236,0.04188615344938477,0.9983442394910927,1.0,8.0,4.0,46.0
YC_30Y_10Y_6m,0.008710184359965512,0.13546631851219074,0.034606280902069776,0.9990019401305229,80.0,5.0,6.0,39.0
Vol_3m,0.055854055337515085,-0.130964136925287,0.032003555730017744,0.9975526505850935,46.0,7.0,7.0,56.0
EXPINF10YR_1y,0.2988359931075317,0.118489201390453,0.03177630604231558,0.9935703675059261,21.0,13.0,8.0,76.0
CPI_1m,0.2982785730936608,-0.12872279166150405,0.02912703069667894,0.9980899639179295,23.0,9.0,10.0,50.0
YC_30Y_10Y_1y,0.021097856505851054,0.10018345000888601,0.023587310809154275,0.9966963675196221,67.0,21.0,11.0,62.0
PCE_1m,0.2969418434740707,-0.12304159962383718,0.02255591496985052,0.9953221059333406,24.0,12.0,12.0,69.0
YC_30Y_10Y,0.02533102325232295,0.08958312881829306,0.01865536397868697,0.9966217697368666,61.0,23.0,16.0,63.0
YC_10Y_2Y_1m,0.2666826378801679,-0.03439351287590122,0.018299166178734835,0.9995785398602463,32.0,51.0,17.0,24.0
PCE_6m,0.2836047542489506,-0.039120251892125396,0.013981420993757833,0.989716636192986,29.0,46.0,19.0,80.0
PCE_1y,0.29996597469667385,0.009456703751087807,0.013143318488827943,0.9985496419877959,18.0,73.0,20.0,45.0
Kurt_6m,0.041956972670631476,0.09204513667172841,0.012602108060947121,0.9986094430452871,50.0,22.0,21.0,44.0
Mom_1m,0.0,0.012274699774103268,0.012328864285523414,0.9995356447782063,85.0,68.0,22.0,27.0
EXPINF30YR_6m,0.3013104243839997,0.08411265241951019,0.012263045677298289,0.9979212182825131,14.0,24.0,23.0,52.0
MA_1y_6m,0.04442452503925565,0.08293994291659648,0.011617179482228377,0.9830170070704725,49.0,25.0,24.0,85.0
GS2_6m,0.2839107782839163,0.06835017258058283,0.010131733220741837,0.997427896344886,27.0,30.0,26.0,58.0
CPI_1y,0.3064426853478772,0.016802167809563763,0.009650646915849536,0.9979466190012853,4.0,61.0,29.0,51.0
DGS30_std_6m,0.03574562892125566,-0.004174863927301362,0.009413138895767555,0.9958213687874645,53.0,79.0,31.0,68.0
YC_10Y_2Y_6m,0.2834114634802791,0.004727944072554731,0.009168534888662861,0.9994282570760601,30.0,77.0,32.0,32.0
CPIAUCSL,0.29999132925845085,-0.0685978047500149,0.007367850015653819,0.9971470856890553,17.0,29.0,35.0,60.0
UNRATE_1y,0.1966169325424043,-0.03418708018886663,0.007321954073276782,0.9939246364569135,36.0,52.0,36.0,72.0
